nome.empresa,setor.1,setor.2,setor.3,patrimonio.liquido,lucro.liquido,atividades.operacionais,total.acoes,mil
ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,-16742e3,-2157e3,3e3,NA,TRUE
AES TIETE ENERGIA SA,Utilidade Pública,Energia Elétrica,Energia Elétrica,1578462e3,62014e3,336955e3,NA,TRUE
AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A,Utilidade Pública,Energia Elétrica,Energia Elétrica,202191e3,6437e3,73e5,862.287,TRUE
ALEF S.A.,Outros,Outros,Outros,142604,-75079,-73738,3,FALSE
ALFA HOLDINGS S.A.,Financeiro,Intermediários Financeiros,Bancos,970278e3,10943e3,-445e3,NA,TRUE
ALGAR TELECOM S/A,Telecomunicações,Telecomunicações,Telecomunicações,1480908e3,43915e3,224121e3,NA,TRUE
ALIANSCE SHOPPING CENTERS S.A.,Financeiro,Exploração de Imóveis,Exploração de Imóveis,263527e4,30115e3,90019e3,NA,TRUE
ALPARGATAS S.A.,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados,2499637e3,43478e3,117853e3,NA,TRUE
ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,Financeiro,Previdência e Seguros,Corretoras de Seguros,98e6,4632e3,299e4,NA,TRUE
ALTERE SECURITIZADORA S.A.,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,61e3,15e3,25e3,NA,TRUE
ALUPAR INVESTIMENTO S/A,Utilidade Pública,Energia Elétrica,Energia Elétrica,6917133e3,646921e3,93854e3,NA,TRUE
AMBEV S.A.,Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes,60490637e3,2749068e3,2080145e3,NA,TRUE
AMPLA ENERGIA E SERVICOS S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,3505871e3,1268e4,-126797e3,442.934,TRUE
ANDRADE GUTIERREZ PARTICIPACOES S.A.,Financeiro,Holdings Diversificadas,Holdings Diversificadas,-306201e3,-34283e3,11588e3,NA,TRUE
ANIMA HOLDING S.A.,Consumo Cíclico,Diversos,Serviços Educacionais,703368e3,38124e3,42259e3,NA,TRUE
AREZZO INDÚSTRIA E COMÉRCIO S.A.,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,644114e3,23141e3,42919e3,NA,TRUE
ATACADÃO S.A.,Consumo não Cíclico,Comércio e Distribuição,Alimentos,14558e6,505e6,-3917e6,NA,TRUE
ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,Outros,Outros,Outros,4047e3,1027e3,2734e3,NA,TRUE
AZEVEDO E TRAVASSOS S.A.,Bens Industriais,Construção e Engenharia,Construção Pesada,-101375e3,-23021e3,8544e3,NA,TRUE
AZUL S.A.,Bens Industriais,Transporte,Transporte Aéreo,-471886e3,137678e3,215807e3,NA,TRUE
B2W - COMPANHIA DIGITAL,Consumo Cíclico,Comércio,Produtos Diversos,3379922e3,-139242e3,-465626e3,NA,TRUE
B3 S.A. - BRASIL. BOLSA. BALCÃO,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos,25289954e3,606117e3,569098e3,NA,TRUE
BAHEMA S.A.,Consumo Cíclico,Diversos,Serviços Educacionais,57287e3,-1935e3,-892e3,434.286,TRUE
BANCO INTER S.A.,Financeiro,Intermediários Financeiros,Bancos,948084e3,12076e3,55713e3,NA,TRUE
BANESTES S.A. - BCO EST ESPIRITO SANTO,Financeiro,Intermediários Financeiros,Bancos,1523492e3,63366e3,919801e3,NA,TRUE
BARDELLA S.A. INDUSTRIAS MECANICAS,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,10673e4,-95862e3,-18263e3,NA,TRUE
BATTISTELLA ADM PARTICIPACOES S.A.,Financeiro,Holdings Diversificadas,Holdings Diversificadas,138e4,962e3,1446e3,NA,TRUE
BAUMER S.A.,Saúde,Equipamentos,Equipamentos,107514e3,1604e3,4552e3,NA,TRUE
BB SEGURIDADE PARTICIPAÇÕES S.A.,Financeiro,Previdência e Seguros,Seguradoras,7792055e3,1013758e3,204714e3,NA,TRUE
BBM LOGISTICA S.A.,Bens Industriais,Serviços,Serviços Diversos,102037e3,2549e3,6339e3,0,TRUE
BCO ABC BRASIL S.A.,Financeiro,Intermediários Financeiros,Bancos,3824364e3,119554e3,2605001e3,NA,TRUE
BCO ALFA DE INVESTIMENTO S.A.,Financeiro,Intermediários Financeiros,Bancos,1456953e3,16467e3,68882e3,NA,TRUE
BCO AMAZONIA S.A.,Financeiro,Intermediários Financeiros,Bancos,1987202e3,-873e4,413285e3,NA,TRUE
BCO BRADESCO S.A.,Financeiro,Intermediários Financeiros,Bancos,126674052e3,5820442e3,-13268092e3,NA,TRUE
BCO BRASIL S.A.,Financeiro,Intermediários Financeiros,Bancos,94521969e3,3917522e3,33546468e3,NA,TRUE
BCO BTG PACTUAL S.A.,Financeiro,Intermediários Financeiros,Bancos,1939462e4,618845e3,8712557e3,NA,TRUE
BCO ESTADO DE SERGIPE S.A. - BANESE,Financeiro,Intermediários Financeiros,Bancos,424975e3,19035e3,96124e3,NA,TRUE
BCO ESTADO DO PARA S.A.,Financeiro,Intermediários Financeiros,Bancos,1283503e3,66211e3,277846e3,2.083,TRUE
BCO ESTADO DO RIO GRANDE DO SUL S.A.,Financeiro,Intermediários Financeiros,Bancos,7364946e3,319957e3,-43428e3,NA,TRUE
BCO INDUSVAL S.A.,Financeiro,Intermediários Financeiros,Bancos,108177e3,-37266e3,-302555e3,NA,TRUE
BCO MERCANTIL DE INVESTIMENTOS S.A.,Financeiro,Intermediários Financeiros,Bancos,118931e3,-129e3,2298e3,409.047,TRUE
BCO MERCANTIL DO BRASIL S.A.,Financeiro,Intermediários Financeiros,Bancos,820955e3,28048e3,104996e3,NA,TRUE
BCO NORDESTE DO BRASIL S.A.,Financeiro,Intermediários Financeiros,Bancos,4498732e3,286439e3,166761e4,604.527,TRUE
BCO PAN S.A.,Financeiro,Intermediários Financeiros,Bancos,4154081e3,96107e3,310783e3,NA,TRUE
BCO PATAGONIA S.A.,Financeiro,Intermediários Financeiros,Bancos,2165557e3,236366e3,-273536e3,NA,TRUE
BCO PINE S.A.,Financeiro,Intermediários Financeiros,Bancos,830161e3,-40746e3,-786498e3,NA,TRUE
BCO SANTANDER (BRASIL) S.A.,Financeiro,Intermediários Financeiros,Bancos,94207683e3,3673589e3,6774324e3,NA,TRUE
BETA SECURITIZADORA S.A.,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,816e3,3e3,9e3,NA,TRUE
BETAPART PARTICIPACOES S.A.,Outros,Outros,Outros,953e3,-63e3,-44e3,3,TRUE
BICICLETAS MONARK S.A.,Consumo Cíclico,Viagens e Lazer,Bicicletas,18915e4,434e3,-133e3,137.474,TRUE
BIOMM S.A.,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,9209e4,-15766e3,-10763e3,NA,TRUE
BIOSEV S.A.,Consumo não Cíclico,Alimentos Processados,Açucar e Alcool,532846e3,-119913e4,638373e3,NA,TRUE
BIOTOSCANA INVESTMENTS S.A.,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,736584709,7998911,-2550764,NA,FALSE
BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES SA,Consumo Cíclico,Hoteis e Restaurantes,Restaurante e Similares,1762908e3,3051e3,-58232e3,NA,TRUE
BNDES PARTICIPACOES S.A. - BNDESPAR,Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,104229544e3,5845678e3,719935e4,0,TRUE
BOMBRIL S.A.,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Limpeza,-246898e3,-5509e3,27664e3,NA,TRUE
BR HOME CENTERS S.A.,Consumo Cíclico,Comércio,Produtos Diversos,-51503e3,-14491e3,11174e3,0,TRUE
BR MALLS PARTICIPACOES S.A.,Financeiro,Exploração de Imóveis,Exploração de Imóveis,11067457e3,165511e3,207634e3,NA,TRUE
BR PROPERTIES S.A.,Financeiro,Exploração de Imóveis,Exploração de Imóveis,5703996e3,-167888e3,92711e3,NA,TRUE
BRADESCO LEASING S.A. ARREND MERCANTIL,Financeiro,Intermediários Financeiros,Soc. Arrendamento Mercantil,3418297e3,72025e3,-132935e3,0,TRUE
BRADESPAR S.A.,Materiais Básicos,Mineração,Minerais Metálicos,9661845e3,-355091e3,63461e3,NA,TRUE
BRASIL BROKERS PARTICIPACOES S.A.,Financeiro,Exploração de Imóveis,Intermediação Imobiliária,215588e3,-6355e3,-12241e3,NA,TRUE
BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,Consumo não Cíclico,Agropecuária,Agricultura,88838e4,140076e3,-6095e3,NA,TRUE
BRASKEM S.A.,Materiais Básicos,Químicos,Petroquímicos,7194366e3,1016492e3,1044299e3,NA,TRUE
BRAZIL REALTY CIA SECURIT. CRÉD. IMOBILIÁRIOS,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,-227670,-29985,-16186,0,FALSE
BRAZILIAN FINANCE E REAL ESTATE S.A.,Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,176068e3,3855e3,982e3,0,TRUE
BRAZILIAN SECURITIES CIA SECURITIZACAO,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,221829e3,-7e4,-102e4,0,TRUE
BRB BCO DE BRASILIA S.A.,Financeiro,Intermediários Financeiros,Bancos,1439394e3,188543e3,367392e3,NA,TRUE
BRC SECURITIZADORA S.A.,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,1044239,175725,45604,453.44,FALSE
BRF S.A.,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,7299159e3,-1012331e3,12302e3,NA,TRUE
BRPR 55 SECURITIZADORA CRED IMOB S.A.,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,36103e3,-1071e3,3713e3,NA,TRUE
BRPR 56 SECURITIZADORA CRED IMOB S.A.,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,163002e3,6374e3,34122e3,340.063,TRUE
BRQ SOLUCOES EM INFORMATICA S.A.,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,92954e3,5866e3,-2122e3,NA,TRUE
BV LEASING - ARRENDAMENTO MERCANTIL S.A.,Financeiro,Intermediários Financeiros,Soc. Arrendamento Mercantil,987932e3,5407e3,200914e3,510.404,TRUE
CABINDA PARTICIPACOES S.A.,Outros,Outros,Outros,6e4,-2e4,-17e3,NA,TRUE
CACHOEIRA PAULISTA TRANSMISSORA ENERGIA S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,140116e3,405e4,8822e3,NA,TRUE
CACONDE PARTICIPACOES S.A.,Outros,Outros,Outros,49e3,-21e3,-17e3,NA,TRUE
CAMBUCI S.A.,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados,37333e3,4142e3,-7138e3,NA,TRUE
CAMIL ALIMENTOS S.A.,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,2238772e3,49794e3,100186e3,NA,TRUE
CAPITALPART PARTICIPACOES S.A.,Outros,Outros,Outros,193632,-139690,-5950,933,FALSE
CCR S.A.,Bens Industriais,Transporte,Exploração de Rodovias,881546e4,355151e3,1066227e3,NA,TRUE
CCX CARVÃO DA COLÔMBIA S.A.,Outros,Outros,Outros,-47643e3,-1175e3,-652e3,744.796,TRUE
CELULOSE IRANI S.A.,Materiais Básicos,Madeira e Papel,Papel e Celulose,309696e3,-6363e3,-16478e3,NA,TRUE
CEMEPE INVESTIMENTOS S.A.,Outros,Outros,Outros,-5473e3,-59e3,-27e3,35.693,TRUE
CEMIG DISTRIBUICAO S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,4830712e3,188354e3,381053e3,0,TRUE
CEMIG GERACAO E TRANSMISSAO S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,5563352e3,583216e3,270704e3,0,TRUE
CENTRAIS ELET BRAS S.A. - ELETROBRAS,Utilidade Pública,Energia Elétrica,Energia Elétrica,57439567e3,1347354e3,-36198e4,NA,TRUE
CENTRAIS ELET DE SANTA CATARINA S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,1879785e3,7267e4,290216e3,NA,TRUE
CENTRAIS ELET DO PARA S.A. - CELPA,Utilidade Pública,Energia Elétrica,Energia Elétrica,3057231e3,5115e4,27808e4,NA,TRUE
CENTRO DE IMAGEM DIAGNOSTICOS S.A.,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,1303495e3,11494e3,38585e3,NA,TRUE
CESP - CIA ENERGETICA DE SAO PAULO,Utilidade Pública,Energia Elétrica,Energia Elétrica,6945826e3,-158243e3,12302e3,NA,TRUE
CIA BRASILEIRA DE DISTRIBUICAO,Consumo não Cíclico,Comércio e Distribuição,Alimentos,1368e7,219e6,-4608e6,NA,TRUE
CIA CATARINENSE DE AGUAS E SANEAM.-CASAN,Utilidade Pública,água e Saneamento,água e Saneamento,1298595e3,5259e4,73781e3,24.187,TRUE
CIA CELG DE PARTICIPACOES - CELGPAR,Utilidade Pública,Energia Elétrica,Energia Elétrica,-1712767e3,13727e3,-4007e3,77.81,TRUE
CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG,Utilidade Pública,Gás,Gás,1359676e3,66674e3,73221e3,451.373,TRUE
CIA ELETRICIDADE EST. DA BAHIA - COELBA,Utilidade Pública,Energia Elétrica,Energia Elétrica,4942255e3,230547e3,355596e3,NA,TRUE
CIA ENERGETICA DE BRASILIA,Utilidade Pública,Energia Elétrica,Energia Elétrica,769593,17531,51444,NA,FALSE
CIA ENERGETICA DE MINAS GERAIS - CEMIG,Utilidade Pública,Energia Elétrica,Energia Elétrica,16735702e3,797239e3,616004e3,NA,TRUE
CIA ENERGETICA DE PERNAMBUCO - CELPE,Utilidade Pública,Energia Elétrica,Energia Elétrica,1635716e3,38016e3,118489e3,NA,TRUE
CIA ENERGETICA DO CEARA - COELCE,Utilidade Pública,Energia Elétrica,Energia Elétrica,2869606e3,701e4,-6056e3,NA,TRUE
CIA ENERGETICA DO MARANHAO - CEMAR,Utilidade Pública,Energia Elétrica,Energia Elétrica,2979104e3,126589e3,272328e3,NA,TRUE
CIA ENERGETICA DO RIO GDE NORTE - COSERN,Utilidade Pública,Energia Elétrica,Energia Elétrica,1028727e3,55531e3,109717e3,NA,TRUE
CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D,Utilidade Pública,Energia Elétrica,Energia Elétrica,-2589949e3,-237508e3,91972e3,NA,TRUE
CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT,Utilidade Pública,Energia Elétrica,Energia Elétrica,2489123e3,93619e3,46602e3,NA,TRUE
CIA FERRO LIGAS DA BAHIA - FERBASA,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,1789602e3,46059e3,32028e3,NA,TRUE
CIA FIACAO TECIDOS CEDRO CACHOEIRA,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,18825e4,-20451e3,8668e3,NA,TRUE
CIA GAS DE SAO PAULO - COMGAS,Utilidade Pública,Gás,Gás,2921935e3,200056e3,320911e3,NA,TRUE
CIA HABITASUL DE PARTICIPACOES,Financeiro,Exploração de Imóveis,Exploração de Imóveis,264143e3,-1967e4,-4298e3,NA,TRUE
CIA HERING,Consumo Cíclico,Tecidos. Vestuário e Calçados,Vestuário,1348337e3,46685e3,91415e3,NA,TRUE
CIA INDUSTRIAL CATAGUASES,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,124756e3,-5353e3,-9209e3,44.287,TRUE
CIA LOCAÇÃO DAS AMÉRICAS,Consumo Cíclico,Diversos,Aluguel de carros,2619927e3,73804e3,-420846e3,NA,TRUE
CIA MELHORAMENTOS DE SAO PAULO,Materiais Básicos,Madeira e Papel,Papel e Celulose,913111e3,-6873e3,1975e3,755.311,TRUE
CIA PARANAENSE DE ENERGIA - COPEL,Utilidade Pública,Energia Elétrica,Energia Elétrica,16838841,505962,803091,NA,FALSE
CIA PARTICIPACOES ALIANCA DA BAHIA,Financeiro,Holdings Diversificadas,Holdings Diversificadas,542283e3,13827e3,19621e3,NA,TRUE
CIA PAULISTA DE FORCA E LUZ,Utilidade Pública,Energia Elétrica,Energia Elétrica,2098807e3,187465e3,5357e5,0,TRUE
CIA PIRATININGA DE FORCA E LUZ,Utilidade Pública,Energia Elétrica,Energia Elétrica,58535e4,67491e3,388333e3,0,TRUE
CIA SANEAMENTO BASICO EST SAO PAULO,Utilidade Pública,água e Saneamento,água e Saneamento,20198979e3,647291e3,58984e4,NA,TRUE
CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,Utilidade Pública,água e Saneamento,água e Saneamento,6360379e3,186735e3,375176e3,NA,TRUE
CIA SANEAMENTO DO PARANA - SANEPAR,Utilidade Pública,água e Saneamento,água e Saneamento,5934736e3,217548e3,284324e3,NA,TRUE
CIA SEGUROS ALIANCA DA BAHIA,Financeiro,Previdência e Seguros,Seguradoras,172858e3,5719e3,2054e3,NA,TRUE
CIA SIDERURGICA NACIONAL,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,10250388e3,86763e3,118597e4,NA,TRUE
CIA TECIDOS NORTE DE MINAS COTEMINAS,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,1942439e3,148775e3,1359e3,NA,TRUE
CIA TECIDOS SANTANENSE,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,276321e3,-1302e3,7724e3,NA,TRUE
CIBRASEC - COMPANHIA BRASILEIRA DE SECURITIZACAO,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,75542e3,1081e3,4225e3,41.649,TRUE
CIELO S.A.,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos,904013e4,548532e3,99752e3,NA,TRUE
CIMS S.A.,Outros,Outros,Outros,150970,-65048,-63136,0,FALSE
CINESYSTEM S.A.,Consumo Cíclico,Mídia,Produção e Difusão de Filmes e Programas,39307e3,-1577e3,7176e3,0,TRUE
CONC AUTO RAPOSO TAVARES S.A.,Bens Industriais,Transporte,Exploração de Rodovias,6703e5,-22568e3,54567e3,NA,TRUE
CONC DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,-1099337e3,-180546e3,367748e3,NA,TRUE
CONC ECOVIAS IMIGRANTES S.A.,Bens Industriais,Transporte,Exploração de Rodovias,532073e3,89363e3,139739e3,0,TRUE
CONC RIO-TERESOPOLIS S.A.,Bens Industriais,Transporte,Exploração de Rodovias,146964e3,11705e3,39622e3,86.466,TRUE
CONC ROD AYRTON SENNA E CARV PINTO S.A.-ECOPISTAS,Bens Industriais,Transporte,Exploração de Rodovias,581283e3,4711e3,48262e3,0,TRUE
CONC ROD.OESTE SP VIAOESTE S.A,Bens Industriais,Transporte,Exploração de Rodovias,243939e3,73546e3,114939e3,0,TRUE
CONC RODOVIAS DO TIETÊ S.A.,Bens Industriais,Transporte,Exploração de Rodovias,-57579e3,-25415e3,39422e3,0,TRUE
CONC ROTA DAS BANDEIRAS S.A.,Bens Industriais,Transporte,Exploração de Rodovias,850087e3,5724e3,42467e3,0,TRUE
CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN,Bens Industriais,Transporte,Exploração de Rodovias,466242e3,170142e3,233043e3,0,TRUE
CONSERVAS ODERICH S.A.,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,182842e3,8088e3,11712e3,197.952,TRUE
CONSORCIO ALFA DE ADMINISTRACAO S.A.,Financeiro,Previdência e Seguros,Seguradoras,1706906e3,20014e3,27535e3,NA,TRUE
CONSTRUTORA ADOLPHO LINDENBERG S.A.,Consumo Cíclico,Construção Civil,Incorporações,18244e3,-7781e3,-5483e3,51.644,TRUE
CONSTRUTORA TENDA S.A.,Consumo Cíclico,Construção Civil,Incorporações,1201012e3,50545e3,48874e3,NA,TRUE
CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA,Financeiro,Exploração de Imóveis,Exploração de Imóveis,-3471e3,-608e3,-816e3,16.864,TRUE
COSAN LOGISTICA S.A.,Bens Industriais,Transporte,Transporte Ferroviário,7796069e3,26372e3,521329e3,NA,TRUE
